# index with_cp original
0 2.14906 0
1 3.38885 0
2 -4.94495 0
3 -2.75 0
4 7.76094 0
5 0.566 0
6 -5.57863 0
7 -4.22865 0
8 3.05725 0
9 23.2485 0
10 -38 -38
11 15.5157 15.5157
12 10.8387 10.8387
13 -9.76589 -9.76589
14 -0.133638 -0.133638
15 0.186832 0.186832
16 -2.95175 -2.95175
17 10.3469 10.3469
18 -5.50756 -5.50756
19 -5.81712 -5.81712
20 4.0147 4.0147
21 3.3241 3.3241
22 1.79413 1.79413
23 -11.9155 -11.9155
24 12.1367 12.1367
25 -5.21131 -5.21131
26 -2.34315 -2.34315
27 8.33437 8.33437
28 -5.48605 -5.48605
29 -6.62498 -6.62498
30 11.7957 11.7957
31 -3.17989 -3.17989
32 -4.00983 -4.00983
33 0.945768 0.945768
34 3.10973 3.10973
35 -2.63872 -2.63872
36 0.221455 0.221455
37 4.93095 4.93095
38 -10.0381 -10.0381
39 7.92699 7.92699
40 -5.36802 -5.36802
41 13.9054 13.9054
42 -22 -22
43 12.495 12.495
44 2.67841 2.67841
45 -4.00593 -4.00593
46 0.100785 0.100785
47 -5.41587 -5.41587
48 10.5593 10.5593
49 -5.4679 -5.4679
50 -0.0482642 -0.0482642
51 -0.275864 -0.275864
52 -1.28195 -1.28195
53 4.2128 4.2128
54 0.180756 0.180756
55 -7.53496 -7.53496
56 8.15256 8.15256
57 -6.51405 -6.51405
58 9.65685 9.65685
59 -11.2593 -11.2593
60 5.12228 5.12228
61 1.96 1.96
62 -2.47468 -2.47468
63 -0.888453 -0.888453
64 2.16738 2.16738
65 -0.071139 -0.071139
66 -1.88348 -1.88348
67 -0.98289 -0.98289
68 7.93397 7.93397
69 -10.8248 -10.8248
70 4.0479 4.0479
71 6.45678 6.45678
72 -9.31024 -9.31024
73 0.838234 0.838234
74 10 10
75 -10.5557 -10.5557
76 0.352809 0.352809
77 7.08693 7.08693
78 -3.99248 -3.99248
79 -1.30882 -1.30882
80 2.64788 2.64788
81 -6.44726 -6.44726
82 12.336 12.336
83 -7.25869 -7.25869
84 -7.72218 -7.72218
85 11.6527 11.6527
86 1.90139 1.90139
87 -11.5842 -11.5842
88 1.85735 1.85735
89 13.6102 13.6102
90 -13.6569 -13.6569
91 -1.2837 -1.2837
92 12.0891 12.0891
93 -7.31404 -7.31404
94 -2.44336 -2.44336
95 2.31039 2.31039
96 3.36383 3.36383
97 -1.57701 -1.57701
98 -4.2813 -4.2813
99 2.98296 2.98296
100 2.53614 2.53614
101 -5.89922 -5.89922
102 11.5688 11.5688
103 -17.0452 -17.0452
104 9.16851 9.16851
105 5.70635 5.70635
106 -6 -6
107 -3.06002 -3.06002
108 -1.54036 -1.54036
109 12.6733 12.6733
110 -7.28837 -7.28837
111 -4.99662 -4.99662
112 2.07412 2.07412
113 5.29045 5.29045
114 1.21984 1.21984
115 -8.85099 -8.85099
116 2.53692 2.53692
117 5.38289 5.38289
118 -3.87627 -3.87627
119 1.95195 1.95195
120 -3.69411 -3.69411
121 2.63543 2.63543
122 -1.65685 -1.65685
123 6.03248 6.03248
124 -8.05487 -8.05487
125 2.01772 2.01772
126 4.43602 4.43602
127 -5.36214 -5.36214
128 2.14906 2.14906
129 3.38885 3.38885
130 -4.94495 -4.94495
131 -2.75 -2.75
132 7.76094 7.76094
133 0.566 0.566
134 -5.57863 -5.57863
135 -4.22865 -4.22865
136 3.05725 3.05725
137 23.2485 23.2485
